,Identifier,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Core,Depth_cm,Real_depth_cm,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Correction_of_d34S_by_true_value
62,58,3,180.1,78.428,2308,74.778,3.65,11255,19.957,sample,20221116,CR03,10.0,16.0,74.396,20.25961497929996,20.272825797396557,20.885564893084144
157,78,3,165.1,62.899,1785,59.973,2.926,8699,19.801,sample,20221116,CR03,20.0,26.0,58.867000000000004,20.172759253911355,20.230569175629487,20.83823747670503
67,79,3,180.0,47.419,1187,45.213,2.206,5782,19.823,sample,20221116,CR03,25.0,31.0,43.387,20.329443312512964,20.43824800280792,21.070837763144873
197,68,3,176.1,51.743,1351,49.337,2.406,6581,19.834,sample,20221116,CR03,30.0,36.0,47.711,20.29547446081617,20.39029396374223,21.0171292393913
232,49,3,152.6,37.965,1164,36.201,1.765,5671,19.659,sample,20221116,CR03,35.0,41.0,33.93300000000001,20.287055521174075,20.397821548721986,21.025560134568625
237,71,3,180.0,51.873,1602,49.461,2.412,7805,20.034,sample,20221116,CR03,45.0,51.0,47.840999999999994,20.511076315294414,20.58449165950345,21.234630658643866
137,65,3,112.9,43.974,1324,41.93,2.044,6448,20.203,sample,20221116,CR03,55.0,61.0,39.94199999999999,20.791483701366985,20.88860564367695,21.575238320918185
32,76,3,180.1,56.985,5401,50.103,6.883,49948,20.706,sample,20221116,CR03,70.0,76.0,52.953,21.188188204634297,20.937641799974845,21.63015881597183
117,72,3,180.0,36.793,934,35.083,1.71,4549,20.14,sample,20221116,CR03,80.0,86.0,32.760999999999996,20.849721925460155,20.980101325537614,21.67771348460213
242,56,3,180.1,47.79,1438,45.567,2.222,7008,20.209,sample,20221116,CR03,95.0,101.0,43.757999999999996,20.746716714657893,20.83411724623582,21.51421131578412
247,50,3,180.0,44.894,1271,42.805,2.088,6196,20.171,sample,20221116,CR03,110.0,116.0,40.861999999999995,20.743076550340174,20.84471809588521,21.526084267391436
252,60,3,178.7,46.9,1392,44.718,2.182,6787,20.086,sample,20221116,CR03,120.0,126.0,42.867999999999995,20.623311561071198,20.714634767155037,21.380390939213644
102,74,3,180.0,51.126,1492,48.748,2.378,7271,20.447,sample,20221116,CR03,135.0,141.0,47.093999999999994,20.96700305771436,21.049798710524485,21.755774555787426
37,75,3,180.1,49.834,4046,43.731,6.103,49951,20.521,sample,20221116,CR03,140.0,146.0,45.80200000000001,21.062185799746736,20.92718774194614,21.618450270979675
162,63,3,180.0,63.931,1810,60.955,2.975,8827,20.693,sample,20221116,CR03,155.0,161.0,59.899,21.118397686104945,21.17407571950465,21.89496480584521
257,59,3,180.1,73.092,2222,69.689,3.403,10838,21.047,sample,20221116,CR03,170.0,176.0,69.06,21.436635447437013,21.457179961349006,22.21204155671089
142,53,3,139.0,39.838,1065,37.986,1.852,5187,20.802,sample,20221116,CR03,180.0,186.0,35.806,21.525911746634645,21.645120051923534,22.42253445815436
27,88,3,116.3,47.6,3927,42.597,5.003,19139,21.17,sample,20221116,CR03,185.0,191.0,43.568,21.798997429305917,21.674147159901043,22.45504481908917
22,63*,3,172.5,40.318,3660,34.728,5.59,17820,20.886,sample,20221116,CR03,190.0,196.0,36.286,21.609669514413273,21.507587812249223,22.26849834971913
97,62,3,180.1,36.67,1024,34.964,1.706,4993,20.587,sample,20221116,CR03,195.0,201.0,32.638000000000005,21.354617623628897,21.477322225760012,22.234600892851216
