	DO-01_S234	DO-101_S223	DO-102_S255	DO-105_S217	DO-107_S233	DO-10_S245	DO-110_S207	DO-113_S242	DO-114_S208	DO-115_S209	DO-116_S206	DO-11_S254	DO-12_S204	DO-13_S253	DO-14_S213	DO-152_S231	DO-152-star_S236	DO-153_S233	DO-154_S211	DO-154_S218	DO-156_S235	DO-157_S216	DO-158_S230	DO-159_S221	DO-15_S214	DO-15_S251	DO-161_S243	DO-162_S219	DO-16_S215	DO-17_S203	DO-18_S235	DO-19_S249	DO-200_S225	DO-202_S224	DO-203_S195	DO-206_S194	DO-209_S192	DO-20_S202	DO-211_S193	DO-21_S200	DO-23_S246	DO-28_S227	DO-2_S252	DO-30_S197	DO-31_S198	DO-35_S209	DO-35_S229	DO-37_S236	DO-39_S205	DO-3_S201	DO-44_S232	DO-46_S234	DO-47_S218	DO-48_S237	DO-49_S239	DO-50_S213	DO-51_S238	DO-53_S230	DO-54_S232	DO-55_S205	DO-55_S244	DO-58_S196	DO-59_S229	DO-5_S241	DO-60_S228	DO-61_S226	DO-63_S231	DO-68_S219	DO-69_S226	DO-6_S250	DO-70_S210	DO-71_S220	DO-72_S211	DO-73_S199	DO-74_S217	DO-77_S220	DO-78_S208	DO-79_S228	DO-7_S222	DO-81_S227	DO-83_S248	DO-84_S221	DO-85_S225	DO-86_S216	DO-87_S224	DO-88_S212	DO-8_S247	DO-93_S223	DO-98_S210	DO-98_S215	DO-99_S240	DO-a_S214	DO-ne-35_S212	DO-ne-45_S206	DO-np-35_S222	DO-np-45_S207	ASV
ASV_30	0	0	0	55	130	0	0	0	40	0	0	1	0	52	31	16	0	1	0	0	0	0	0	0	40	0	0	0	49	56	202	0	22	14	51	1	0	15	0	42	0	80	0	0	0	0	0	0	0	3	0	0	0	0	1	0	6	0	4	0	0	0	82	107	0	0	0	0	73	0	4	0	6	0	0	0	0	108	15	0	0	0	0	0	44	3	0	188	5	0	0	0	0	0	1	0	ASV_30
ASV_31	280	1	0	0	0	3	0	0	0	0	0	2	4	2	2	66	10	9	0	0	0	0	174	0	1	0	0	0	0	0	47	0	0	0	0	0	0	0	0	5	0	55	0	101	0	0	8	3	0	7	293	0	0	0	0	7	27	0	0	0	0	8	76	34	0	0	2	0	31	0	0	0	7	0	0	0	0	30	0	0	0	0	86	0	0	0	0	115	0	0	5	0	0	0	0	0	ASV_31
ASV_32	64	0	0	0	0	0	0	0	0	0	0	0	0	0	11	57	53	0	0	0	0	0	593	0	0	0	0	2	8	0	38	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	13	0	0	256	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	17	0	0	0	2	0	0	0	0	ASV_32
ASV_35	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	7	0	0	0	2	0	0	0	0	0	0	5	0	0	17	0	0	5	5	5	5	0	0	0	0	0	17	0	0	0	0	0	1	12	0	45	0	0	403	0	0	0	0	0	0	0	0	0	0	0	ASV_35
ASV_36	357	0	2	0	0	0	0	0	0	0	0	0	44	20	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	97	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	550	0	0	0	0	2	3	2	2	0	0	0	0	0	0	11	0	0	0	0	50	0	0	0	0	0	0	3	0	68	2	0	0	0	0	0	0	13	0	0	0	0	0	60	0	0	0	0	ASV_36
ASV_37	0	0	0	0	0	0	0	0	0	0	0	0	0	37	121	0	0	0	0	0	0	0	0	0	163	0	0	0	178	0	0	0	14	15	64	46	13	0	30	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	2	0	319	0	0	0	0	0	189	0	0	0	0	0	0	0	0	ASV_37
ASV_38	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2	1115	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	ASV_38
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	33	0	0	0	0	0	0	0	0	0	0	0	13	0	0	406	86	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV_39
ASV_40	2	0	4	0	0	4	0	0	0	0	16	0	0	0	0	17	40	0	0	0	0	0	345	0	0	0	0	0	0	0	12	23	0	0	0	0	0	10	0	0	0	37	0	0	0	0	0	0	0	0	104	0	0	0	1	0	0	0	0	0	0	0	259	0	0	0	0	0	7	0	0	0	0	0	0	0	0	133	0	0	0	0	70	0	0	0	0	44	0	0	0	7	0	0	0	0	ASV_40
ASV_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	295	10	0	0	0	0	0	0	8	0	0	0	32	0	50	0	0	2	11	5	0	0	0	0	0	0	0	0	0	15	16	0	0	276	0	3	0	0	0	0	0	0	52	0	0	0	71	0	0	0	2	0	122	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	ASV_41
