	DO-101_GC04_136	DO-102_GC06_111	DO-10_GC06_81	DO-110_GC06_156	DO-113_GC04_156	DO-114_GC06_166	DO-115_GC06_171	DO-116_GC06_146	DO-11_GC06_71	DO-12_GC06_121	DO-13_GC06_41	DO-153_GC02_63.5	DO-156_GC02_90.5	DO-159_GC04_206	DO-161_GC04_171	DO-162_GC04_191	DO-17_GC06_186	DO-19_GC06_176	DO-200_MC01_23	DO-202_MC01_18	DO-203_MC01_12	DO-206_MC01_8	DO-209_MC01_2	DO-20_GC06_101	DO-211_MC01_4	DO-21_GC06_51	DO-23_GC06_91	DO-2_GC06_21	DO-30_GC02_114.5	DO-31_GC04_201	DO-37_GC02_99.5	DO-39_GC06_131	DO-3_GC06_61	DO-46_GC02_84.5	DO-48_GC02_105.5	DO-49_GC02_126.5	DO-50_GC04_86	DO-51_GC02_111.5	DO-53_GC02_45.5	DO-54_GC02_57.5	DO-58_GC02_72.5	DO-5_GC06_31	DO-60_GC02_81.5	DO-61_GC02_18.5	DO-63_GC02_51.5	DO-6_GC06_181	DO-70_GC02_6.5	DO-72_GC02_39.5	DO-73_GC04_186	DO-74_GC04_166	DO-77_GC04_196	DO-7_GC06_16	DO-81_GC02_21.5	DO-83_GC06_161	DO-86_GC04_146	DO-88_GC04_71	DO-8_GC06_141	DO-99_GC04_106	DO-a_GC04_96	DO-01_GC06_126	DO-105_GC04_26	DO-107_GC02_15.5	DO-14_MC01_27	DO-152_GC02_60.5	DO-152_GC02_93.5	DO-154_GC04_176	DO-157_GC04_16	DO-158_GC02_117.5	DO-15_MC01_31	DO-16_MC01_36	DO-18_GC06_56	DO-28_GC04_76	DO-35_GC02_36.5	DO-44_GC02_96.5	DO-47_GC04_41	DO-55_GC06_11	DO-59_GC02_87.5	DO-68_GC04_51	DO-69_GC04_46	DO-71_GC04_61	DO-78_GC02_9.5	DO-79_GC04_66	DO-84_GC04_11	DO-85_GC04_126	DO-87_GC02_12.5	DO-93_GC04_31	DO-98_GC04_116
ASV_18	0	0.986747864820903	0	0	0	0	4.19414146918961	3.9988911108599	0	8.55571846738446	5.99144514938522	3.51821979404947	0	0	0	0	0	3.33655962909033	3.724563621097	0	0	3.66112221744138	0	6.1416806482231	4.19133673838713	3.41538403769914	0	0	0	7.71131965374527	0	2.68606400855174	0	0	0	0	4.07447153393424	6.4504829220436	0	4.56716753838806	0	0	4.2589737922102	6.57337030268768	5.19884346230814	0.943990960073011	0	4.91528204621416	0	0	1.35347634826813	0	5.08785638573219	0	0	0	3.5878924197137	0	2.99985051351129	4.26534330594008	1.92890424193551	0	0	0	6.36054586514591	3.95363155050757	0	3.47192583281199	4.66707668025721	1.065866377939	2.99985051351129	0	0	4.40892044899515	3.40292568954624	6.54561455074094	0	0	1.40726767429296	0	5.08989646852857	6.40837954059654	0	0	0	1.96543402651528	0
ASV_20	2.91554101421123	0	0	0	0	2.82540181181383	0	0	3.85643093594733	0	0	0	3.82431911735539	7.0327792630664	0	0	0	0	0	2.3956012025863	0	0	7.51685085376284	0	0	0	6.97503651801252	0	6.4388577048531	0	5.84929342090146	6.24459503682794	2.737199601041	0	4.55482531458943	0	5.56421029724805	0	4.23429298433855	0	0	0	0	0	0	2.93800423235703	1.19438211337688	0	0	0	0	0	0	0	5.97779828552755	0	0	0	0	0	0	0	5.77485305582737	6.07280944567891	0	0	0	0	0	0	0	2.27057902550201	5.22846731796864	1.82756355333267	0	0	0.565664978851195	0.103823936432558	0	0	0	0	6.34588583106266	0	0	0	0
ASV_21	4.85807864424567	0	0	0	0	3.99412374416944	0	0	0	0	0	2.51955809804816	3.99412374416944	0	4.89661830551659	1.00567462933022	0	2.92202828006506	0	0	0	0	0.98537258047155	0	0	0	0	0	5.9549956423478	0	0	0	0	0	4.34342430857024	0	7.33238972083795	0	0.29698360511991	0	0	0	0	6.31036813462227	0.211712131627238	6.22160829027256	0	6.19509070939533	0	0	0	0	0	0	5.88159976770835	0	0	4.33660934132436	0	0	0	0	0	5.06577176371914	0	0	0	0	0	0	0	0	2.44329010142615	0	0	0	0	5.1871462089499	0	0	0	0	5.41040848148003	0	0	0	0
ASV_22	5.2041413772275	0	0	0	0	6.28286398787812	0	0	0	0	0.303232338857558	1.93593204286057	5.14559701023174	1.16913198920001	0	0	0	0	5.30875192477813	0	0	0	2.30264957891785	0	0	0	4.64432250388893	0	6.15932145889055	0	3.89586228486284	5.22014238575886	4.41368860990924	0	0	2.15105595393904	7.82596867318154	0	3.97349456934158	0	0	1.11333924179684	4.99561869963842	2.57578514243465	0	5.74364179933264	0	2.69475289168368	0	0	0	0	0	0	2.61083506759713	0	0.788163950324526	0	0	0	0	0	0	6.20434927443256	0	0	0	0	0	0	0	0	2.95701695911084	0	0	0	0	0	0	0	0	4.32804323305104	6.3559733335639	0	0	0	0
ASV_23	5.01247118360042	0	1.65402480717973	3.45981088618233	0	0	0	4.66150241813113	0	0	0	3.7404208770539	0	0	3.1123830666819	0	0	0	0	0	0	0	0	4.5977767498353	0	0	0	0	3.84729049793426	0	0	0	0	0	0	0	0	0	6.18352565460139	0	5.96383135964747	0	0	0	5.36872202875661	4.18477211399976	1.10733746877315	0	0	0	0	3.40292568954624	0	1.11962183000154	0	0	0	4.18884584096219	0	0	0	0	0	4.26964277777758	1.0280467932893	0	0	0	0	0	0	0	6.25292117385824	0	0	0	0	3.26102977669344	0	0	1.39484977634459	0	0	0	0	0	0
ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	8.30700401771684	0	0	0	0	0	3.39414285694823	0	0	7.92603857399339	0	0	0	8.15717159777935	0	0	0	7.33786920954021	8.33907685123182	7.46833737365463	6.03349796613721	0	5.60734408095643	0	0	0	3.24621010634619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83745392742652	0	0	4.66150241813113	0	0	0	0	0	0	0	0	0	0	0	0	2.27057902550201	0	0	2.98837160144994	0	0.565664978851195	0	0	1.33462376100288	0	0	5.1799871655528	0	0	0	0
ASV_25	5.51956141187582	0	0	0	0	3.99412374416944	0	0	1.85960409807246	0	0	3.93292242627	5.14559701023174	3.74840229372818	0	0	0	0	0	0	0	0	2.30264957891785	0	0	2.41682109553838	2.49958302541791	0	6.41625906974118	0	3.2184087281254	0.373622774338991	0	0	0.10900989834656	0	7.60018512941706	0	5.4812020604413	0	0	3.10801578101905	0	0	0.211712131627238	7.9859094581814	0	0	0	0	0	0	0	2.1160915265343	4.93075233834447	0	0	0	0	3.26614102811563	0	0	0	5.7581685038053	0	0	0	0	0	0	0	0	4.11512392976717	0	0	0	0	0	0	0	0	0	3.746611744877	0	0	3.9624853395717	0
ASV_26	4.21095174845281	0	0	0	0	0	0	5.1138513302832	0	0	0	0.93993028577502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.60237542388423	0	0	0	0	0	0	0	4.00412775019257	0	5.55365486376139	0	4.21595035641999	0	0	0	3.52169050880755	2.2611326546312	0	0	0	0	0	2.98837160144994	0	0	0	0	0	0	0	0	0	0	0	4.43666573229974	0	0	0	0	0	0	0	0	7.37691601530306	0	0	4.37626450625773	0	4.22908577864164	0	0	3.39047024750522	1.63179703110351	5.20252316980944	0	0	0	0
ASV_27	0	0	0	0	0	5.91095319285925	0	3.87344748674375	0	4.31348289825567	3.54001171479738	3.93292242627	0	0	4.87443054817538	3.58426160120958	0	0	3.724563621097	0	4.66819783346092	0	0	0	1.38900894543885	0.837585471424099	0	0	4.49076277989306	0	0	3.17080961305108	0	0	0	0	3.00508367963086	0	3.28603539857682	0	5.52579751028654	0	0	5.51214495026683	0	5.18435008290381	2.90960196043281	6.9655221648281	0	0	0	0	0	0	4.3460414206016	0	0	2.46416369108942	2.00176645401308	0	0	0	0	4.26964277777758	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8283955140054	0	0	0	0	0	0	0	3.54777591874163	2.82540181181383
ASV_28	0	0	0	0	5.95196364081002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.10712566801504	6.37383420944175	0	0	0	0	0	0	0	0	0	0	1.11962183000154	0	0	0	0	0	0	4.62593122327427	0	0	0	0	8.15780876274222	0	7.49052687540447	0	0	0	0	0	0	3.724563621097	0	0	0	0	6.63550618106817	0	0	0	0	0	0	0
