	domain	phylum	class	order	family	genus	species	ASV
ASV_2267	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_2267
ASV_2268	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	ASV_2268
ASV_2269	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis_Unknown Family	uncultured	uncultured	uncultured	ASV_2269
ASV_2270	Bacteria	Chloroflexi	Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	ASV_2270
ASV_2271	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_2271
ASV_2272	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	ASV_2272
ASV_2273	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4	SG8-4	ASV_2273
ASV_2274	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	Pir4 lineage	ASV_2274
ASV_2275	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	Pir4 lineage	ASV_2275
ASV_2276	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	unclassified_Nitrosopumilaceae	unclassified_Nitrosopumilaceae	ASV_2276
ASV_2277	Bacteria	Proteobacteria	Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	ASV_2277
ASV_2278	Bacteria	Chloroflexi	Dehalococcoidia	GIF9	AB-539-J10	AB-539-J10	AB-539-J10	ASV_2278
ASV_2279	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 23	Subgroup 23	ASV_2279
ASV_2280	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_2280
ASV_2281	Archaea	Crenarchaeota	Nitrososphaeria	Marine Benthic Group A	Marine Benthic Group A	Marine Benthic Group A	Marine Benthic Group A	ASV_2281
ASV_2282	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	Latescibacteraceae	Latescibacteraceae	ASV_2282
ASV_2283	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae_1	Limibaculum	Limibaculum	ASV_2283
ASV_2284	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_2284
ASV_2285	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_2285
ASV_2286	Bacteria	Desulfobacterota_1	Desulfobacteria_1	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1	SEEP-SRB1	ASV_2286
ASV_2287	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_2287
ASV_2288	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_2288
ASV_2289	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	Candidatus Omnitrophus	ASV_2289
ASV_2290	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	Candidatus Omnitrophus	ASV_2290
ASV_2291	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_2291
ASV_2292	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix	Calorithrix	ASV_2292
ASV_2293	Bacteria	Proteobacteria	Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	ASV_2293
ASV_2294	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4	SG8-4	ASV_2294
ASV_2295	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_2295
ASV_2296	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas_1	Sphingomonas_1	ASV_2296
ASV_2297	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_2297
ASV_2298	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_2298
ASV_2299	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas_5	Sphingomonas_5	ASV_2299
ASV_2300	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas_5	Sphingomonas_5	ASV_2300
ASV_2301	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	unclassified_Comamonadaceae	unclassified_Comamonadaceae	ASV_2301
ASV_2303	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_2303
ASV_2304	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	Candidatus Omnitrophus	ASV_2304
ASV_2305	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_2305
ASV_2306	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	unclassified_Pirellulaceae	unclassified_Pirellulaceae	ASV_2306
