	domain	phylum	class	order	family	genus	species	ASV
ASV_3270	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4	SG8-4	ASV_3270
ASV_3271	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	Urania-1B-19 marine sediment group	ASV_3271
ASV_3272	Bacteria	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	ASV_3272
ASV_3273	Bacteria	Acidobacteriota	Subgroup 22	Subgroup 22	Subgroup 22	Subgroup 22	Subgroup 22	ASV_3273
ASV_3274	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae_1	unclassified_Flavobacteriaceae_1	unclassified_Flavobacteriaceae_1	ASV_3274
ASV_3275	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	ASV_3275
ASV_3276	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae_1	Aquibacter	Aquibacter	ASV_3276
ASV_3277	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3277
ASV_3278	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3278
ASV_3279	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	Woeseia	ASV_3279
ASV_3280	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4	SG8-4	ASV_3280
ASV_3281	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_3281
ASV_3282	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_3282
ASV_3283	Bacteria	Gemmatimonadota	PAUC43f marine benthic group	PAUC43f marine benthic group	PAUC43f marine benthic group	PAUC43f marine benthic group	PAUC43f marine benthic group	ASV_3283
ASV_3284	Bacteria	Desulfobacterota_1	Desulfobacteria_2	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	Desulfatiglans	ASV_3284
ASV_3285	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3285
ASV_3286	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3286
ASV_3287	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4	SG8-4	ASV_3287
ASV_3288	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_3288
ASV_3289	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3289
ASV_3290	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	ASV_3290
ASV_3291	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	unclassified_Corynebacteriales	unclassified_Corynebacteriales	unclassified_Corynebacteriales	ASV_3291
ASV_3292	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3292
ASV_3293	Bacteria	Chloroflexi	Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	ASV_3293
ASV_3294	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	unclassified_Sphingobacteriaceae	unclassified_Sphingobacteriaceae	ASV_3294
ASV_3295	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	uncultured	uncultured	ASV_3295
ASV_3296	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3296
ASV_3297	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_3297
ASV_3298	Bacteria	Chloroflexi	Anaerolineae	Thermoflexales	Thermoflexaceae	Thermoflexus	Thermoflexus	ASV_3298
ASV_3299	Bacteria	Armatimonadota	DG-56	DG-56	DG-56	DG-56	DG-56	ASV_3299
ASV_3300	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3300
ASV_3301	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	unclassified_Pirellulaceae	unclassified_Pirellulaceae	ASV_3301
ASV_3302	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_3302
ASV_3303	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3303
ASV_3304	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	Urania-1B-19 marine sediment group	ASV_3304
ASV_3305	Bacteria	Proteobacteria	Gammaproteobacteria	MBMPE27	MBMPE27	MBMPE27	MBMPE27	ASV_3305
ASV_3306	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	ST-12K33	ST-12K33	ST-12K33	ASV_3306
ASV_3307	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3307
ASV_3308	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales	Babeliales	Babeliales	ASV_3308
ASV_3309	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured	uncultured	ASV_3309
ASV_3310	Bacteria	Desulfobacterota_1	Desulfobacteria_2	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	Desulfatiglans	ASV_3310
ASV_3311	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3311
ASV_3312	Bacteria	Chloroflexi	Dehalococcoidia	DscP2	DscP2	DscP2	DscP2	ASV_3312
ASV_3313	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_3313
ASV_3314	Bacteria	Chloroflexi	Dehalococcoidia	S085	S085	S085	S085	ASV_3314
ASV_3316	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	ASV_3316
ASV_3317	Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales	Hadarchaeales	Hadarchaeales	Hadarchaeales	ASV_3317
ASV_3318	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_3318
ASV_3319	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	Candidatus Omnitrophus	ASV_3319
ASV_3320	Bacteria	Bacteroidota	Bacteroidia	Cytophagales_1	Cyclobacteriaceae_1	uncultured	uncultured	ASV_3320
ASV_3322	Bacteria	Myxococcota	bacteriap25	bacteriap25	bacteriap25	bacteriap25	bacteriap25	ASV_3322
ASV_3323	Bacteria	Chloroflexi	Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	ASV_3323
ASV_3324	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3324
ASV_3325	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_3325
ASV_3326	Bacteria	Firmicutes	Clostridia_1	Lachnospirales	Lachnospiraceae_1	Howardella	Howardella	ASV_3326
ASV_3327	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17	Subgroup 17	Subgroup 17	Subgroup 17	ASV_3327
ASV_3328	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3328
ASV_3329	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3329
ASV_3330	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces_2	Actinomyces_2	ASV_3330
ASV_3331	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae_1	Izhakiella	Izhakiella	ASV_3331
ASV_3332	Bacteria	Bdellovibrionota_2	Oligoflexia	Oligoflexales	uncultured	uncultured	uncultured	ASV_3332
ASV_3333	Bacteria	Planctomycetota	Phycisphaerae	CCM11a	CCM11a	CCM11a	CCM11a	ASV_3333
ASV_3335	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	unclassified_Corynebacteriales	unclassified_Corynebacteriales	unclassified_Corynebacteriales	ASV_3335
ASV_3337	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_3337
ASV_3338	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3338
ASV_3339	Bacteria	Actinobacteriota	Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	ASV_3339
ASV_3340	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales_3	Microbacteriaceae	Microbacterium	Microbacterium	ASV_3340
ASV_3341	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3341
ASV_3342	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3342
ASV_3343	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3343
ASV_3344	Bacteria	Nitrospinota	P9X2b3D02	P9X2b3D02	P9X2b3D02	P9X2b3D02	P9X2b3D02	ASV_3344
ASV_3345	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	uncultured	uncultured	uncultured	ASV_3345
ASV_3346	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured	ASV_3346
ASV_3347	Bacteria	Proteobacteria	Gammaproteobacteria	EC3	EC3	EC3	EC3	ASV_3347
ASV_3348	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3348
ASV_3349	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_1	Rhizobiaceae_1	Pseudahrensia	Pseudahrensia	ASV_3349
ASV_3350	Bacteria	Planctomycetota	Phycisphaerae	CCM11a	CCM11a	CCM11a	CCM11a	ASV_3350
ASV_3351	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	uncultured	uncultured	ASV_3351
ASV_3352	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3352
ASV_3353	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	ASV_3353
ASV_3354	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade	KI89A clade	KI89A clade	KI89A clade	ASV_3354
ASV_3355	Bacteria	Gemmatimonadota	PAUC43f marine benthic group	PAUC43f marine benthic group	PAUC43f marine benthic group	PAUC43f marine benthic group	PAUC43f marine benthic group	ASV_3355
ASV_3356	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 15	Subgroup 15	Subgroup 15	Subgroup 15	ASV_3356
ASV_3357	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3357
ASV_3358	Bacteria	Patescibacteria	Microgenomatia	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	ASV_3358
ASV_3359	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3359
ASV_3360	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	SAR202 clade	SAR202 clade	SAR202 clade	ASV_3360
ASV_3361	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	Candidatus Omnitrophus	ASV_3361
ASV_3362	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae_1	unclassified_Rhodobacteraceae_1	unclassified_Rhodobacteraceae_1	ASV_3362
ASV_3363	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3363
ASV_3364	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3364
ASV_3365	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	Subgroup 10	ASV_3365
ASV_3366	Bacteria	Chloroflexi	Dehalococcoidia	vadinBA26	vadinBA26	vadinBA26	vadinBA26	ASV_3366
ASV_3368	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	unclassified_Pasteurellaceae	unclassified_Pasteurellaceae	ASV_3368
ASV_3369	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_3369
ASV_3370	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3370
ASV_3371	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3371
ASV_3372	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3372
ASV_3373	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	Chloroflexus	ASV_3373
ASV_3374	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	WCHB1-41	ASV_3374
ASV_3375	Bacteria	Patescibacteria	Microgenomatia	Candidatus Woykebacteria	Candidatus Woykebacteria	Candidatus Woykebacteria	Candidatus Woykebacteria	ASV_3375
ASV_3376	Bacteria	Actinobacteriota	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	ASV_3376
ASV_3377	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_3377
ASV_3378	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_3378
ASV_3379	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3379
ASV_3380	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3380
ASV_3381	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3381
ASV_3382	Bacteria	Chloroflexi	Dehalococcoidia	GIF3	GIF3	GIF3	GIF3	ASV_3382
ASV_3383	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	unclassified_Corynebacteriales	unclassified_Corynebacteriales	unclassified_Corynebacteriales	ASV_3383
ASV_3385	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3385
ASV_3386	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3386
ASV_3387	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	ASV_3387
ASV_3388	Bacteria	Chloroflexi	Anaerolineae	uncultured	uncultured	uncultured	uncultured	ASV_3388
ASV_3389	Bacteria	Acidobacteriota	Acidobacteriae	PAUC26f	PAUC26f	PAUC26f	PAUC26f	ASV_3389
ASV_3390	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3390
ASV_3391	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3391
ASV_3392	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3392
ASV_3393	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_3393
ASV_3394	Bacteria	Desulfobacterota_1	Desulfobacteria_1	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1	SEEP-SRB1	ASV_3394
ASV_3395	Bacteria	Actinobacteriota	RBG-16-55-12	RBG-16-55-12	RBG-16-55-12	RBG-16-55-12	RBG-16-55-12	ASV_3395
ASV_3396	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	ASV_3396
ASV_3397	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3397
ASV_3398	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	unclassified_Pirellulaceae	unclassified_Pirellulaceae	ASV_3398
ASV_3399	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	Pir4 lineage	ASV_3399
ASV_3400	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4	SG8-4	ASV_3400
ASV_3401	Bacteria	Actinobacteriota	Actinobacteria	Frankiales_1	Geodermatophilaceae	unclassified_Geodermatophilaceae	unclassified_Geodermatophilaceae	ASV_3401
ASV_3402	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	Pir4 lineage	ASV_3402
ASV_3403	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	Pir4 lineage	ASV_3403
ASV_3404	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3404
ASV_3405	Archaea	Thermoplasmatota	Thermoplasmata	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	ASV_3405
ASV_3406	Archaea	Thermoplasmatota	Thermoplasmata	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	ASV_3406
ASV_3407	Bacteria	Proteobacteria	Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	ASV_3407
ASV_3408	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	unclassified_Sphingomonadaceae	unclassified_Sphingomonadaceae	ASV_3408
ASV_3409	Bacteria	Chloroflexi	Dehalococcoidia	vadinBA26	vadinBA26	vadinBA26	vadinBA26	ASV_3409
ASV_3410	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3410
ASV_3411	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	unclassified_Chitinophagaceae	unclassified_Chitinophagaceae	ASV_3411
ASV_3412	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	unclassified_Pirellulaceae	unclassified_Pirellulaceae	ASV_3412
ASV_3413	Archaea	Thermoplasmatota	Thermoplasmata	uncultured	uncultured	uncultured	uncultured	ASV_3413
ASV_3414	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast	ASV_3414
ASV_3415	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3415
ASV_3416	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales_1	Marinifilaceae_1	Marinifilum	Marinifilum	ASV_3416
ASV_3417	Bacteria	Chloroflexi	unclassified_Chloroflexi	unclassified_Chloroflexi	unclassified_Chloroflexi	unclassified_Chloroflexi	unclassified_Chloroflexi	ASV_3417
ASV_3418	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	unclassified_Pirellulaceae	unclassified_Pirellulaceae	ASV_3418
ASV_3419	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	unclassified_Pirellulaceae	unclassified_Pirellulaceae	ASV_3419
ASV_3420	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4	SG8-4	ASV_3420
ASV_3421	Bacteria	Firmicutes	Clostridia_1	Clostridiales	Clostridiaceae	Clostridium sensu stricto 13	Clostridium sensu stricto 13	ASV_3421
ASV_3422	Bacteria	GN01	GN01	GN01	GN01	GN01	GN01	ASV_3422
ASV_3423	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3423
ASV_3424	Bacteria	Chloroflexi	Anaerolineae	unclassified_Anaerolineae	unclassified_Anaerolineae	unclassified_Anaerolineae	unclassified_Anaerolineae	ASV_3424
ASV_3425	Bacteria	Elusimicrobiota	Elusimicrobia	MD2894-B20	MD2894-B20	MD2894-B20	MD2894-B20	ASV_3425
ASV_3426	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast	ASV_3426
ASV_3427	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564 sediment group	AKAU3564 sediment group	AKAU3564 sediment group	ASV_3427
ASV_3428	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3428
ASV_3429	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_3429
ASV_3430	Bacteria	Chloroflexi	Anaerolineae	unclassified_Anaerolineae	unclassified_Anaerolineae	unclassified_Anaerolineae	unclassified_Anaerolineae	ASV_3430
ASV_3431	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	ASV_3431
ASV_3432	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3432
ASV_3433	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_3433
ASV_3434	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	ASV_3434
ASV_3435	Bacteria	Actinobacteriota	Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	ASV_3435
ASV_3436	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_1	Fusobacterium_1	ASV_3436
ASV_3437	Bacteria	Dependentiae	Babeliae	unclassified_Babeliae	unclassified_Babeliae	unclassified_Babeliae	unclassified_Babeliae	ASV_3437
ASV_3438	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_3438
ASV_3439	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3439
ASV_3440	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007	DEV007	ASV_3440
ASV_3441	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	Pir4 lineage	ASV_3441
ASV_3442	Bacteria	WS1	WS1	WS1	WS1	WS1	WS1	ASV_3442
ASV_3443	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	Pir4 lineage	ASV_3443
ASV_3444	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	ASV_3444
ASV_3445	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	Babeliaceae	Babeliaceae	ASV_3445
ASV_3446	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3446
ASV_3447	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_3447
ASV_3448	Bacteria	Proteobacteria	Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	ASV_3448
ASV_3449	Bacteria	Firmicutes	Clostridia_1	Lachnospirales	Lachnospiraceae_1	uncultured	uncultured	ASV_3449
ASV_3450	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured	ASV_3450
ASV_3451	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	Candidatus Omnitrophus	ASV_3451
ASV_3452	Bacteria	Chloroflexi	Dehalococcoidia	FW22	FW22	FW22	FW22	ASV_3452
ASV_3453	Bacteria	Actinobacteriota	unclassified_Actinobacteriota	unclassified_Actinobacteriota	unclassified_Actinobacteriota	unclassified_Actinobacteriota	unclassified_Actinobacteriota	ASV_3453
ASV_3454	Bacteria	Gemmatimonadota	BD2-11 terrestrial group	BD2-11 terrestrial group	BD2-11 terrestrial group	BD2-11 terrestrial group	BD2-11 terrestrial group	ASV_3454
ASV_3455	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3455
ASV_3456	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured	uncultured	ASV_3456
ASV_3457	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	ASV_3457
ASV_3458	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_3458
ASV_3459	Bacteria	Firmicutes	Clostridia_1	Oscillospirales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus	ASV_3459
