Sample_conc_ppb,Sample_conc_ppb_undil,Sample_conc_uM,Concentration_units,Analyte,Station,Core,Real_depth_cm
323.145517,27.6990473,5.88178954,uM,Manganese,CR04.5,GC06,111
323.646238,24.3175938,5.8909035,uM,Manganese,CR04.5,GC06,111
295.310355,28.8194071,5.37514298,uM,Manganese,CR04.5,GC06,116
264.68051,25.7761268,4.8176285,uM,Manganese,CR04.5,GC06,121
283.193647,26.8630664,5.15459861,uM,Manganese,CR04.5,GC06,126
292.790043,25.9081016,5.32926907,uM,Manganese,CR04.5,GC06,131
244.486552,23.0740471,4.45006465,uM,Manganese,CR04.5,GC06,136
332.548146,30.6551728,6.05293312,uM,Manganese,CR04.5,GC06,141
263.018523,24.8913183,4.78737755,uM,Manganese,CR04.5,GC06,151
308.252198,29.1791773,5.61070618,uM,Manganese,CR04.5,GC06,156
305.464122,29.0763318,5.55995854,uM,Manganese,CR04.5,GC06,161
296.427196,29.147595,5.39547134,uM,Manganese,CR04.5,GC06,161
304.586794,11.5101955,5.5439897,uM,Manganese,CR04.5,GC06,166
291.747795,28.4924018,5.31029841,uM,Manganese,CR04.5,GC06,171
246.868051,22.8419652,4.49341193,uM,Manganese,CR04.5,GC06,176
271.663786,26.4746802,4.94473583,uM,Manganese,CR04.5,GC06,181
312.049083,26.1037968,5.67981585,uM,Manganese,CR04.5,GC06,181
323.441514,31.8085779,5.88717717,uM,Manganese,CR04.5,GC06,186
323.198433,31.7846724,5.88275269,uM,Manganese,CR04.5,GC06,186
323.596785,31.823848,5.89000337,uM,Manganese,CR04.5,GC06,186
19.46100108,2.016210398,0.34851363,uM,Iron,SCB01,MC01,2
30.31369576,2.995492576,0.542867044,uM,Iron,SCB01,MC01,3
21.86278898,1.569396558,0.391525591,uM,Iron,SCB01,MC01,4
33.07881519,3.130755329,0.592385659,uM,Iron,SCB01,MC01,5
35.30265603,3.517328146,0.632210889,uM,Iron,SCB01,MC01,6
267.2251156,25.34439582,4.785550064,uM,Iron,SCB01,MC01,8
631.084258,63.34410359,11.30165218,uM,Iron,SCB01,MC01,10
795.4058293,76.68848835,14.24437373,uM,Iron,SCB01,MC01,12
925.2487435,84.14947362,16.56964082,uM,Iron,SCB01,MC01,18
