,Date,Type,runno,Sample_Name,Number,Det.,Ion,Measurement,Core,Depth_cm,Real_depth_cm,Real_conc_ppb,Dilfac,Standard_group,U_spike_mass,Sample_mass,Total_mass,Conc_spike,U238_to_U236_mean,U238_to_U236_stdev,U238_to_U236_sterr,U238_to_U236_stderr,U238_to_U236_stderr_over_mean,Sample_conc_ppb,Sample_conc_ppb_undil,Sample_conc_uM
3071,6042022,Sample,24,122,323812.9611,,Fe56,CPS,GC06,130.0,136.0,,10.59573776,,,,,,,,,,,600.1536295248255,56.6410421925,10.747736918424525
2682,5202022,Sample,72,65,45913.25206,,Fe56,CPS,GC04,130.0,136.0,,10.55152049,,,,,,,,,,,157.94593901313618,14.96902168392,2.828544753100576
3103,6042022,Sample,60,75,68210.00886,,Fe56,CPS,GC04,135.0,141.0,,10.50926718,,,,,,,,,,,125.17089526442109,11.910525550500001,2.2415991272281715
3066,6042022,Sample,19,105,198302.2024,,Fe56,CPS,GC06,140.0,146.0,,17.93839008,,,,,,,,,,,622.0434433472666,34.67665942,11.139746478281994
2676,5202022,Sample,66,74,40709.31957,,Fe56,CPS,GC04,140.0,146.0,,10.65837916,,,,,,,,,,,141.13096754179537,13.24131609724,2.527417040504931
3064,6042022,Sample,17,116,257222.7859,,Fe56,CPS,GC06,145.0,151.0,,10.5666771,,,,,,,,,,,475.3711495657286,44.987761532499995,8.513093652681386
2683,5202022,Sample,73,56,24836.203,,Fe56,CPS,GC04,150.0,156.0,,12.4580938,,,,,,,,,,,99.30896463257095,7.971441396,1.7784556703540642
2660,5202022,Sample,50,110,89119.69948,,Fe56,CPS,GC06,150.0,156.0,,10.56411544,,,,,,,,,,,309.6718553274546,29.31356222736,5.5456994148899454
3086,6042022,Sample,39,96,109540.5373,,Fe56,CPS,GC06,155.0,161.0,,10.50559348,,,,,,,,,,,201.11244233494446,19.1433680275,3.60158385270316
2155,5142022,Sample,79,96,91106.48439,,Fe56,CPS,GC06,155.0,161.0,,10.16986808,,,,,,,,,,,174.28100007665813,17.13699712776,3.1210780816020436
3102,6042022,Sample,59,66,69749.45376,,Fe56,CPS,GC04,155.0,161.0,,10.49760949,,,,,,,,,,,127.8601320433414,12.179928408,2.289758811664423
2642,5202022,Sample,31,121,16074.88983,,Fe56,CPS,GC06,160.0,166.0,,26.46234763,,,,,,,,,,,133.9705416195785,5.06268542356,2.399185917256062
