br correction factor,ID,meas_conc,br_corr,real_conc,Concentration_units,Ion,Depth_cm,Station,Core,Real_depth_cm,
0.940722892,37,1.5424,1.639590163,16.39590163,uM,Nitrate,27,CR02,GC02,30.5,Caltech
1.155060241,25,1.1744,1.016743507,10.16743507,uM,Nitrate,30,CR02,GC02,33.5,Caltech
0.984168675,32,1.618,1.644027128,16.44027128,uM,Nitrate,33,CR02,GC02,36.5,Caltech
0.991518072,41,1.2496,1.260289686,12.60289686,uM,Nitrate,36,CR02,GC02,39.5,Caltech
0.930746988,44,1.2544,1.347734686,13.47734686,uM,Nitrate,42,CR02,GC02,45.5,Caltech
0.813108434,38,0,0,0,uM,Nitrate,45,CR02,GC02,48.5,Caltech
0.731927711,24,0,0,0,uM,Nitrate,48,CR02,GC02,51.5,Caltech
1.240650602,29,0.3812,0.307258143,3.072581429,uM,Nitrate,51,CR02,GC02,54.5,Caltech
1.133108434,28,0,0,0,uM,Nitrate,54,CR02,GC02,57.5,Caltech
0.911686747,20,0,0,0,uM,Nitrate,57,CR02,GC02,60.5,Caltech
0.963903614,35,0,0,0,uM,Nitrate,60,CR02,GC02,63.5,Caltech
0.774795181,26,0,0,0,uM,Nitrate,63,CR02,GC02,66.5,Caltech
0.922554217,23,0,0,0,uM,Nitrate,66,CR02,GC02,69.5,Caltech
0.685349398,19,0,0,0,uM,Nitrate,69,CR02,GC02,72.5,Caltech
1.025325301,22,0,0,0,uM,Nitrate,72,CR02,GC02,75.5,Caltech
0.891614458,36,0,0,0,uM,Nitrate,81,CR02,GC02,84.5,Caltech
0.85746988,18,0,0,0,uM,Nitrate,84,CR02,GC02,87.5,Caltech
0.938771084,27,0.382,0.406914962,4.06914962,uM,Nitrate,87,CR02,GC02,90.5,Caltech
0.979638554,21,0,0,0,uM,Nitrate,90,CR02,GC02,93.5,Caltech
0.904554217,17,0,0,0,uM,Nitrate,96,CR02,GC02,99.5,Caltech
0.838746988,52,0.4582,0.546291082,5.462910825,uM,Nitrate,99,CR02,GC02,102.5,Caltech
1.060481928,51,0.4739,0.446872302,4.468723016,uM,Nitrate,102,CR02,GC02,105.5,Caltech
1.228457831,48,0,0,0,uM,Nitrate,108,CR02,GC02,111.5,Caltech
0.879614458,46,0,0,0,uM,Nitrate,111,CR02,GC02,114.5,Caltech
0.998168675,49,0.2116,0.211988219,2.119882193,uM,Nitrate,114,CR02,GC02,117.5,Caltech
0.879228916,50,0.2619,0.297874644,2.978746436,uM,Nitrate,123,CR02,GC02,126.5,Caltech
,CR3-2-55,,,49.88,uM,Nitrate,,CR03,GC04,0,BC
,CR3-2-57,,,46.02,uM,Nitrate,,CR03,GC04,2.7,BC
,CR3-2-49,,,43.77,uM,Nitrate,,CR03,GC04,3.51,BC
,CR3-2-59,,,40.03,uM,Nitrate,,CR03,GC04,6.7,BC
,CR3-2-60,,,26.94,uM,Nitrate,,CR03,GC04,8.7,BC
,CR3-2-61,,,13.88,uM,Nitrate,,CR03,GC04,12.7,BC
0.646,b,0.52,0.80495356,8.049535604,uM,Nitrate,10,CR03,GC04,16,Caltech
