ID,Compound,Conc_nM,Core,Depth_cm,Real_depth_cm
19,Thiosulfate,15.4440087,GC02,69,72.5
22,Thiosulfate,19.78882757,GC02,72,75.5
34,Thiosulfate,23.71752245,GC02,78,81.5
36,Thiosulfate,34.84304028,GC02,81,84.5
18,Thiosulfate,49.23292448,GC02,84,87.5
27,Thiosulfate,24.98711838,GC02,87,90.5
21,Thiosulfate,13.91954164,GC02,90,93.5
30,Thiosulfate,38.9876,GC02,93,96.5
17,Thiosulfate,56.27587502,GC02,96,99.5
52,Thiosulfate,85.3355911,GC02,99,102.5
51,Thiosulfate,65.44597228,GC02,102,105.5
47,Thiosulfate,37.31237669,GC02,105,108.5
48,Thiosulfate,24.20808919,GC02,108,111.5
46,Thiosulfate,26.26754,GC02,111,114.5
49,Thiosulfate,27.84164147,GC02,114,117.5
50,Thiosulfate,26.62820658,GC02,123,126.5
a,Thiosulfate,0,GC04,5,11
b,Thiosulfate,1.815155959,GC04,10,16
C,Thiosulfate,14.23,GC04,15,21
d,Thiosulfate,26.00499765,GC04,20,26
e,Thiosulfate,24.4084799,GC04,25,31
60,Thiosulfate,23.60138946,GC04,30,36
64,Thiosulfate,19.05030731,GC04,35,41
83,Thiosulfate,16.94432867,GC04,40,46
73,Thiosulfate,22.99829983,GC04,45,51
62,Thiosulfate,20.51397215,GC04,50,56
68,Thiosulfate,17.54233541,GC04,55,61
81,Thiosulfate,15.25742374,GC04,60,66
78,Thiosulfate,14.52635841,GC04,65,71
76,Thiosulfate,7.866445612,GC04,70,76
77,Thiosulfate,16.77489648,GC04,80,86
61,Thiosulfate,6.052758265,GC04,85,91
f,Thiosulfate,15.20728909,GC04,90,96
53,Thiosulfate,12.69698547,GC04,95,101
58,Thiosulfate,19.36447696,GC04,100,106
67,Thiosulfate,15.347318,GC04,110,116
69,Thiosulfate,18.76266985,GC04,110,116
70,Thiosulfate,15.12959622,GC04,110,116
71,Thiosulfate,17.95496017,GC04,110,116
72,Thiosulfate,18.74620027,GC04,115,121
80,Thiosulfate,9.680131182,GC04,120,126
65,Thiosulfate,17.55112861,GC04,130,136
75,Thiosulfate,18.15509163,GC04,135,141
74,Thiosulfate,22.96262288,GC04,140,146
56,Thiosulfate,13.31911477,GC04,150,156
66,Thiosulfate,14.51855892,GC04,155,161
54,Thiosulfate,16.61916859,GC04,160,166
57,Thiosulfate,26.94584815,GC04,170,176
59,Thiosulfate,46.03778459,GC04,175,181
55,Thiosulfate,61.11781425,GC04,180,186
88,Thiosulfate,72.64089149,GC04,185,191
63,Thiosulfate,75.42364946,GC04,190,196
86,Thiosulfate,36.91280092,GC04,195,201
82,Thiosulfate,17.43060887,GC04,200,206
109,Thiosulfate,18.15359332,GC06,5,11
103,Thiosulfate,14.52378194,GC06,10,16
126,Thiosulfate,27.23328878,GC06,15,21
123,Thiosulfate,12.70882756,GC06,20,26
113,Thiosulfate,17.54600145,GC06,25,31
89,Thiosulfate,7.866660681,GC06,30,36
125,Thiosulfate,5.444421008,GC06,35,41
117,Thiosulfate,10.28822192,GC06,40,46
107,Thiosulfate,5.447366093,GC06,45,51
97,Thiosulfate,13.80186278,GC06,50,56
119,Thiosulfate,16.94407106,GC06,65,71
111,Thiosulfate,10.28889291,GC06,70,76
102,Thiosulfate,14.84108088,GC06,75,81
112,Thiosulfate,18.12273149,GC06,80,86
118,Thiosulfate,15.12895819,GC06,85,91
108,Thiosulfate,30.25143929,GC06,90,96
124,Thiosulfate,14.52257833,GC06,95,101
100,Thiosulfate,17.0982219,GC06,100,106
93,Thiosulfate,13.31210394,GC06,105,111
90,Thiosulfate,10.28668737,GC06,108,114
114,Thiosulfate,14.52175062,GC06,110,116
98,Thiosulfate,10.28777597,GC06,115,121
104,Thiosulfate,10.40733003,GC06,120,126
120,Thiosulfate,9.682756232,GC06,125,131
122,Thiosulfate,18.76153577,GC06,130,136
106,Thiosulfate,30.25602002,GC06,135,141
105,Thiosulfate,24.96069716,GC06,140,146
116,Thiosulfate,25.12540894,GC06,145,151
110,Thiosulfate,31.81254044,GC06,150,156
96,Thiosulfate,34.52369899,GC06,155,161
121,Thiosulfate,37.52034401,GC06,160,166
115,Thiosulfate,22.42074605,GC06,165,171
91,Thiosulfate,21.7867828,GC06,170,176
128,Thiosulfate,18.75998571,GC06,175,181
99,Thiosulfate,30.25053156,GC06,180,186
3,Thiosulfate,4.236321401,MC01,3,3
4,Thiosulfate,9.074780445,MC01,4,4
5,Thiosulfate,6.37,MC01,5,5
6,Thiosulfate,7.867190729,MC01,6,6
8,Thiosulfate,3.63242154,MC01,8,8
7,Thiosulfate,0.605621169,MC01,10,10
9,Thiosulfate,3.16,MC01,12,12
11,Thiosulfate,2.143,MC01,18,18
12,Thiosulfate,2.420874808,MC01,20,20
13,Thiosulfate,7.44255042,MC01,23,23
14,Thiosulfate,15.25000835,MC01,27,27
15,Thiosulfate,6.048674792,MC01,31,31
16,Thiosulfate,4.86,MC01,36,36
42,Sulfide,0,GC02,3,6.5
43,Sulfide,0,GC02,12,15.5
