Identifier,Peak_Nr,Width,Area_All,Area_44,Ampl_44,Area_45,Ampl_45,Area_46,Ampl_46,d13C,Type,Core,Real_depth_cm,Weigh_EA_mg,Amount_ug,Date,Weigh_sample_before_decarb_mg,Weigh_sample_after_decarb_mg
CR02_93.5,3,96.8,78.267,77.048,2511,0.893,2913,0.327,3533,-21.146,sample,CR02,93.5,1,,20230126,50,50
CR02_93.5,4,23.2,77.861,76.638,3982,0.896,4655,0.327,5659,-11.946,sample,CR02,93.5,1,,20230126,50,50
CR02_102.5,1,23.2,77.943,76.72,3976,0.896,4642,0.327,5647,-12.018,sample,CR02,102.5,1,,20230126,100,99.97
CR02_102.5,2,23.2,78.08,76.855,3981,0.897,4647,0.327,5652,-12.04,sample,CR02,102.5,1,,20230126,100,99.97
CR02_102.5,3,91.1,71.459,70.815,1330,0.471,1535,0.173,1870,-22.335,sample,CR02,102.5,1,,20230126,100,99.97
CR02_102.5,4,23.2,77.905,76.683,3979,0.895,4647,0.327,5651,-11.818,sample,CR02,102.5,1,,20230126,100,99.97
CR02_108.5,1,23.2,77.923,76.7,3980,0.896,4647,0.327,5653,-12.055,sample,CR02,108.5,1.351,,20230126,50,50
CR02_108.5,2,23.2,78.15,76.924,3977,0.898,4643,0.328,5646,-12.04,sample,CR02,108.5,1.351,,20230126,50,50
CR02_108.5,3,83,76.966,76.702,545,0.193,630,0.071,767,-23.204,sample,CR02,108.5,1.351,,20230126,50,50
CR02_108.5,4,23.2,77.838,76.617,3980,0.895,4647,0.327,5652,-11.925,sample,CR02,108.5,1.351,,20230126,50,50
CR02_114.5,1,23.2,78.276,77.048,3981,0.9,4648,0.328,5653,-11.982,sample,CR02,114.5,1.261,,20230126,70,60
CR02_114.5,2,23.2,77.967,76.744,3975,0.896,4642,0.327,5646,-12.04,sample,CR02,114.5,1.261,,20230126,70,60
CR02_114.5,3,76.3,78.668,78.533,281,0.099,325,0.036,396,-23.961,sample,CR02,114.5,1.261,,20230126,70,60
CR02_114.5,4,23.2,77.802,76.582,3974,0.894,4641,0.326,5645,-11.842,sample,CR02,114.5,1.261,,20230126,70,60
CR03_11,1,23.2,78.03,76.808,3978,0.895,4638,0.327,5646,-12.008,sample,CR03,11,1.281,,20230126,50,10
CR03_11,2,23.2,77.883,76.663,3982,0.894,4640,0.326,5650,-12.04,sample,CR03,11,1.281,,20230126,50,10
CR03_11,3,109.5,200.076,196.963,6348,2.279,7377,0.834,8919,-19.688,sample,CR03,11,1.281,,20230126,50,10
CR03_11,4,23,77.826,76.607,3982,0.893,4642,0.326,5653,-11.934,sample,CR03,11,1.281,,20230126,50,10
CR03_16,1,23.2,78.171,76.943,3984,0.899,4656,0.328,5662,-12.024,sample,CR03,16,1.292,,20230126,60,20
CR03_16,2,23.2,78.388,77.158,3984,0.902,4657,0.329,5663,-12.04,sample,CR03,16,1.292,,20230126,60,20
CR03_16,3,105.1,173.335,170.635,5508,1.976,6404,0.723,7745,-20.368,sample,CR03,16,1.292,,20230126,60,20
CR03_16,4,23.2,77.727,76.506,3977,0.894,4648,0.326,5652,-11.966,sample,CR03,16,1.292,,20230126,60,20
CR03_26,1,23.2,78.296,77.07,3980,0.898,4639,0.328,5649,-12.011,sample,CR03,26,1.299,,20230126,80,15
CR03_26,2,23.2,77.985,76.763,3978,0.895,4637,0.327,5646,-12.04,sample,CR03,26,1.299,,20230126,80,15
CR03_26,3,113.7,328.124,323.025,10289,3.734,11981,1.365,14442,-20.517,sample,CR03,26,1.299,,20230126,80,15
CR03_26,4,23,77.677,76.46,3977,0.891,4636,0.326,5645,-12.064,sample,CR03,26,1.299,,20230126,80,15
CR03_31,1,23.2,78.107,76.881,3980,0.898,4647,0.328,5652,-12.067,sample,CR03,31,1.242,,20230126,50,7
CR03_31,2,23.2,78.064,76.839,3978,0.897,4645,0.327,5649,-12.04,sample,CR03,31,1.242,,20230126,50,7
CR03_31,3,132.3,594.755,585.521,17975,6.764,20996,2.47,25216,-20.103,sample,CR03,31,1.242,,20230126,50,7
CR03_31,4,23.2,77.713,76.494,3977,0.893,4644,0.326,5649,-12.094,sample,CR03,31,1.242,,20230126,50,7
MetA,1,23.2,77.891,76.669,3972,0.896,4641,0.327,5643,-12.008,standard,,,,,20230126,,
MetA,2,23.2,78.026,76.802,3973,0.897,4641,0.327,5642,-12.04,standard,,,,,20230126,,
MetA,3,90.5,42.268,41.616,1365,0.477,1564,0.176,1916,-32.741,standard,,,,,20230126,,
MetA,4,23.2,77.993,76.769,3982,0.897,4652,0.327,5657,-11.835,standard,,,,,20230126,,
MetA,1,23.2,77.869,76.647,3978,0.895,4647,0.327,5651,-12.016,standard,,,,,20230126,,
MetA,2,23.2,77.956,76.732,3982,0.896,4651,0.327,5655,-12.04,standard,,,,,20230126,,
MetA,3,91.8,42.35,41.696,1352,0.477,1547,0.176,1897,-32.935,standard,,,,,20230126,,
